etime pid cpu mem rss
00:21 193852 198 2.0 10939288
00:22 193852 203 2.1 11268964
00:23 193852 207 2.1 11596588
00:24 193852 211 2.2 11926060
00:25 193852 215 2.3 12256852
00:26 193852 226 2.3 12599460
00:27 193852 286 2.4 13075976
00:28 193852 342 2.5 13555400
00:29 193852 373 2.6 13869032
00:30 193852 371 2.5 13247560
00:31 193852 369 2.5 13299540
00:32 193852 367 2.5 13352052
00:33 193852 365 2.5 13404296
00:34 193852 364 2.5 13457472
00:35 193852 362 2.5 13561032
00:36 193852 361 2.6 13833876
00:37 193852 359 2.6 14108144
00:38 193852 358 2.7 14335176
00:39 193852 357 2.7 14610500
00:40 193852 355 2.8 14885028
00:41 193852 356 2.6 14155056
00:42 193852 392 2.7 14363352
00:43 193852 426 2.7 14479512
00:44 193852 459 2.7 14594352
00:45 193852 490 2.7 14674344
00:46 193852 520 2.7 14734800
00:47 193852 548 2.8 14793408
00:48 193852 575 2.8 14970016
00:49 193852 602 2.8 15090660
00:51 193852 614 2.9 15308724
00:52 193852 638 2.9 15497744
00:53 193852 662 2.9 15606776
00:54 193852 684 2.9 15666704
00:55 193852 705 2.9 15720560
00:56 193852 726 2.9 15762008
00:57 193852 746 2.9 15796064
00:58 193852 765 2.9 15828008
00:59 193852 783 3.0 15867344
01:00 193852 801 3.0 15895592
01:01 193852 819 3.0 15923576
01:02 193852 836 3.0 15952088
01:03 193852 852 3.0 15974528
01:04 193852 868 3.0 15996440
01:05 193852 883 3.0 16014656
01:06 193852 898 3.0 16031552
01:07 193852 912 3.0 16050032
01:08 193852 926 3.0 16077224
01:09 193852 940 3.0 16094384
01:10 193852 953 3.0 16109960
01:11 193852 965 3.0 16126328
01:12 193852 978 3.0 16140584
01:13 193852 990 3.0 16154048
01:14 193852 1002 3.0 16166720
01:15 193852 1013 3.0 16178864
01:16 193852 1024 3.0 16190216
01:17 193852 1035 3.0 16201040
01:18 193852 1046 3.0 16211864
01:20 193852 1043 3.0 16222952
01:21 193852 1053 3.0 16231136
01:22 193852 1063 3.0 16239848
01:23 193852 1072 3.0 16248560
01:24 193852 1082 3.0 16257536
01:25 193852 1091 3.0 16265720
01:26 193852 1100 3.0 16274960
01:27 193852 1109 3.0 16283408
01:28 193852 1117 3.0 16291336
01:29 193852 1126 3.0 16298200
01:30 193852 1134 3.0 16303744
01:31 193852 1136 3.0 16307176
01:32 193852 1129 3.0 16307704
01:33 193852 1120 2.9 15675452
01:34 193852 1111 2.9 15727964
01:35 193852 1103 2.9 15780736
01:36 193852 1095 2.9 15833652
01:37 193852 1087 3.0 15887424
01:38 193852 1079 3.0 15940812
01:39 193852 1071 3.0 15993676
01:40 193852 1063 3.0 16046184
01:41 193852 1056 3.0 16098960
01:42 193852 1048 3.0 16151732
01:43 193852 1041 3.0 16204504
01:44 193852 1034 3.0 16257280
01:45 193852 1027 3.0 16311372
01:46 193852 1021 3.1 16586956
01:48 193852 1005 3.1 16862280
01:49 193852 998 3.2 17139712
01:50 193852 992 3.2 17403420
01:51 193852 986 3.3 17680852
01:52 193852 980 3.4 17958020
01:53 193852 974 3.4 18233988
01:54 193852 968 3.5 18509572
01:55 193852 962 3.5 18785156
01:56 193852 968 3.5 18816044
01:57 193852 976 3.5 18816044
01:58 193852 984 3.5 18816044
01:59 193852 991 3.5 18816044
02:00 193852 998 3.5 18816044
02:01 193852 1005 3.5 18816044
02:02 193852 1012 3.5 18816044
02:03 193852 1019 3.5 18816044
02:04 193852 1026 3.5 18816044
02:05 193852 1033 3.5 18816044
02:06 193852 1039 3.5 18816044
02:07 193852 1046 3.5 18816044
02:08 193852 1052 3.5 18816044
02:09 193852 1058 3.5 18816044
02:10 193852 1064 3.5 18816044
02:11 193852 1071 3.5 18816044
02:12 193852 1077 3.5 18816044
